player_name,school,position,nil_value_usd
Garrett Nussmeier,LSU,QB,2900000
Arch Manning,Texas,QB,4500000
DJ Lagway,Florida,QB,2200000
LaNorris Sellers,South Carolina,QB,1000000
Keelon Russell,Alabama,QB,800000
Gunner Stockton,Georgia,QB,1500000
Sam Horn,Missouri,QB,900000
John Mateer,Oklahoma,QB,700000
Taylen Green,Arkansas,QB,600000
Jackson Arnold,Auburn,QB,500000
Marcel Reed,Texas A&M,QB,800000
Ty Simpson,Alabama,QB,400000
Ryan Williams,Alabama,WR,3200000
Cam Coleman,Auburn,WR,1500000
Isaiah Horton,Alabama,WR,600000
Germie Bernard,Alabama,WR,500000
Barion Brown,LSU,WR,900000
Jalen Brown,Arkansas,WR,400000
Cole Adams,Alabama,WR,350000
Cam Coleman,Auburn,WR,1500000
Oscar Delp,Georgia,TE,700000
Lawson Luckie,Georgia,TE,500000
Danny Lewis Jr.,Alabama,TE,400000
Brody Dalton,Alabama,TE,300000
Harold Perkins Jr.,LSU,MLB,1600000
Deontae Lawson,Alabama,MLB,800000
Xavian Sorey Jr.,Arkansas,MLB,500000
Nikhai Hill-Green,Alabama,MLB,400000
Yhonzae Pierre,Alabama,MLB,350000
KJ Bolden,Georgia,S,900000
Keon Sabb,Alabama,S,700000
Jardin Gilbert,LSU,S,600000
Domani Jackson,Alabama,S,500000
DaShawn Jones,Alabama,S,400000
Cam Calhoun,Alabama,S,350000
Zabien Brown,Alabama,S,300000
