player_name,school,instagram_followers,x_followers
Garrett Nussmeier,LSU,185000,42000
Jalen Milroe,Alabama,320000,95000
Nico Iamaleava,Tennessee,410000,120000
Carson Beck,Georgia,290000,85000
Quinn Ewers,Texas,520000,180000
Jaxson Dart,Ole Miss,210000,55000
DJ Lagway,Florida,350000,80000
Ryan Williams,Alabama,450000,150000
Luther Burden III,Missouri,280000,70000
Tre Harris,Ole Miss,120000,35000
Oscar Delp,Georgia,65000,18000
Mason Taylor,LSU,95000,28000
Gunner Helm,Texas,70000,22000
Harold Perkins Jr.,LSU,210000,65000
Jihaad Campbell,Alabama,85000,30000
Jalon Walker,Georgia,150000,45000
Malaki Starks,Georgia,180000,55000
KJ Bolden,Georgia,120000,40000
Keelon Russell,Alabama,95000,25000
LaNorris Sellers,South Carolina,75000,20000
